"Year","Ethnicity","Number per 100,000"
"2018/19","Asian","103"
"2018/19","Black","307"
"2018/19","Mixed","233"
"2018/19","White","73"
"2018/19","Other","173"
"2019/20","Asian","105"
"2019/20","Black","322"
"2019/20","Mixed","214"
"2019/20","White","73"
"2019/20","Other","196"
"2020/21","Asian","105"
"2020/21","Black","344"
"2020/21","Mixed","222"
"2020/21","White","75"
"2020/21","Other","210"
