"Ethnicity","Police force area","Rate per 1,000"
"Other inc Chinese","Avon & Somerset","2"
"Other inc Chinese","Bedfordshire","2"
"Other inc Chinese","British Transport Police","N/A"
"Other inc Chinese","Cambridgeshire","2"
"Other inc Chinese","Cheshire","2"
"Other inc Chinese","Cleveland","3"
"Other inc Chinese","Cumbria","2"
"Other inc Chinese","Derbyshire","0"
"Other inc Chinese","Devon & Cornwall","1"
"Other inc Chinese","Dorset","3"
"Other inc Chinese","Durham","2"
"Other inc Chinese","Dyfed-Powys","1"
"Other inc Chinese","Essex","3"
"Other inc Chinese","Gloucestershire","0"
"Other inc Chinese","Greater Manchester","1"
"Other inc Chinese","Gwent","4"
"Other inc Chinese","Hampshire","2"
"Other inc Chinese","Hertfordshire","6"
"Other inc Chinese","Humberside","0"
"Other inc Chinese","Kent","4"
"Other inc Chinese","Lancashire","1"
"Other inc Chinese","Leicestershire","1"
"Other inc Chinese","Lincolnshire","4"
"Other inc Chinese","London, City of","N/A"
"Other inc Chinese","Merseyside","7"
"Other inc Chinese","Metropolitan Police","13"
"Other inc Chinese","Norfolk","3"
"Other inc Chinese","North Wales","2"
"Other inc Chinese","North Yorkshire","1"
"Other inc Chinese","Northamptonshire","3"
"Other inc Chinese","Northumbria","0"
"Other inc Chinese","Nottinghamshire","2"
"Other inc Chinese","South Wales","4"
"Other inc Chinese","South Yorkshire","1"
"Other inc Chinese","Staffordshire","3"
"Other inc Chinese","Suffolk","9"
"Other inc Chinese","Surrey","3"
"Other inc Chinese","Sussex","5"
"Other inc Chinese","Thames Valley","2"
"Other inc Chinese","Warwickshire","1"
"Other inc Chinese","West Mercia","2"
"Other inc Chinese","West Midlands","1"
"Other inc Chinese","West Yorkshire","2"
"Other inc Chinese","Wiltshire","2"
