"","Cohabiting couple","Lone parent","Married or same-sex civil partnership couple","One person household","Other household types","Pensioner couple"
"Ethnicity","%","%","%","%","%","%"
"Asian","3.5","8.8","47.0","17.0","21.7","2.1"
"Black","6.8","24.3","21.6","31.7","14.1","1.5"
"Mixed","11.2","19.1","19.9","35.2","12.9","1.7"
"White","10.3","10.2","32.9","30.9","6.8","8.9"
"Other","5.2","10.5","37.0","30.7","15.0","1.4"
