"Ethnicity","Local authority","%"
"Asian","Isles of Scilly","!"
"Asian","Islington","81"
"Asian","Kensington and Chelsea","86"
"Asian","Kent","87"
"Asian","Kingston upon Hull, City of","89"
"Asian","Kingston upon Thames","83"
"Asian","Kirklees","81"
"Asian","Knowsley","90"
"Asian","Lambeth","88"
"Asian","Lancashire","82"
"Asian","Leeds","79"
"Asian","Leicester","84"
"Asian","Leicestershire","89"
"Asian","Lewisham","81"
"Asian","Lincolnshire","92"
"Asian","Liverpool","83"
"Asian","Luton","81"
"Asian","Manchester","80"
"Asian","Medway","90"
"Asian","Merton","88"
"Asian","Middlesbrough","83"
"Asian","Milton Keynes","89"
"Asian","Newcastle upon Tyne","83"
"Asian","Newham","89"
"Asian","Norfolk","83"
"Asian","North East Lincolnshire","90"
"Asian","North Lincolnshire","86"
"Asian","North Somerset","93"
"Asian","North Tyneside","82"
"Asian","North Yorkshire","85"
"Asian","Northamptonshire","84"
"Asian","Northumberland","90"
"Asian","Nottingham","82"
"Asian","Nottinghamshire","85"
"Asian","Oldham","76"
"Asian","Oxfordshire","79"
"Asian","Peterborough","84"
"Asian","Plymouth","93"
"Asian","Portsmouth","81"
"Asian","Reading","89"
"Asian","Redbridge","88"
"Asian","Redcar and Cleveland","71"
"Asian","Richmond upon Thames","87"
"Asian","Rochdale","76"
"Asian","Rotherham","82"
"Asian","Rutland","83"
"Asian","Salford","84"
"Asian","Sandwell","85"
"Asian","Sefton","88"
"Asian","Sheffield","74"
"Asian","Shropshire","68"
"Asian","Slough","90"
"Asian","Solihull","91"
"Asian","Somerset","86"
"Asian","South Gloucestershire","89"
"Asian","South Tyneside","78"
"Asian","Southampton","87"
"Asian","Southend-on-Sea","90"
"Asian","Southwark","88"
"Asian","St. Helens","85"
"Asian","Staffordshire","84"
"Asian","Stockport","82"
"Asian","Stockton-on-Tees","84"
"Asian","Stoke-on-Trent","80"
"Asian","Suffolk","83"
"Asian","Sunderland","80"
"Asian","Surrey","89"
"Asian","Sutton","92"
"Asian","Swindon","88"
"Asian","Tameside","79"
"Asian","Telford and Wrekin","80"
"Asian","Thurrock","91"
"Asian","Torbay","91"
"Asian","Tower Hamlets","84"
"Asian","Trafford","86"
"Asian","Wakefield","83"
"Asian","Walsall","87"
"Asian","Waltham Forest","87"
"Asian","Wandsworth","85"
"Asian","Warrington","94"
"Asian","Warwickshire","88"
"Asian","West Berkshire","88"
"Asian","West Sussex","86"
"Asian","Westminster","86"
"Asian","Wigan","84"
"Asian","Wiltshire","90"
"Asian","Windsor and Maidenhead","84"
"Asian","Wirral","85"
"Asian","Wokingham","88"
"Asian","Wolverhampton","85"
"Asian","Worcestershire","80"
"Asian","York","94"
"Black","Barking and Dagenham","84"
"Black","Barnet","84"
"Black","Barnsley","86"
"Black","Bath and North East Somerset","80"
"Black","Bedford","83"
"Black","Bexley","87"
"Black","Birmingham","81"
"Black","Blackburn with Darwen","76"
"Black","Blackpool","89"
"Black","Bolton","75"
"Black","Bournemouth, Christchurch and Poole","89"
"Black","Bracknell Forest","87"
"Black","Bradford","81"
"Black","Brent","82"
"Black","Brighton and Hove","74"
"Black","Bristol, City of","79"
"Black","Bromley","85"
"Black","Buckinghamshire","80"
"Black","Bury","75"
"Black","Calderdale","80"
"Black","Cambridgeshire","79"
"Black","Camden","81"
"Black","Central Bedfordshire","87"
"Black","Cheshire East","88"
"Black","Cheshire West and Chester","60"
"Black","City of London","!"
"Black","Cornwall","67"
"Black","County Durham","86"
"Black","Coventry","85"
"Black","Croydon","81"
"Black","Cumbria","75"
"Black","Darlington","89"
"Black","Derby","86"
"Black","Derbyshire","80"
"Black","Devon","91"
"Black","Doncaster","81"
"Black","Dorset","89"
"Black","Dudley","76"
"Black","Ealing","84"
"Black","East Riding of Yorkshire","80"
"Black","East Sussex","88"
"Black","Enfield","82"
"Black","Essex","84"
"Black","Gateshead","92"
"Black","Gloucestershire","86"
"Black","Greenwich","87"
"Black","Hackney","85"
"Black","Halton","100"
"Black","Hammersmith and Fulham","87"
"Black","Hampshire","87"
"Black","Haringey","85"
"Black","Harrow","83"
"Black","Hartlepool","82"
"Black","Havering","84"
"Black","Herefordshire, County of","50"
"Black","Hertfordshire","82"
"Black","Hillingdon","88"
"Black","Hounslow","84"
"Black","Isle of Wight","100"
"Black","Isles of Scilly","!"
"Black","Islington","83"
"Black","Kensington and Chelsea","88"
"Black","Kent","89"
"Black","Kingston upon Hull, City of","91"
"Black","Kingston upon Thames","80"
"Black","Kirklees","82"
"Black","Knowsley","93"
"Black","Lambeth","81"
"Black","Lancashire","75"
"Black","Leeds","79"
"Black","Leicester","85"
"Black","Leicestershire","92"
"Black","Lewisham","79"
"Black","Lincolnshire","88"
"Black","Liverpool","85"
"Black","Luton","84"
"Black","Manchester","84"
"Black","Medway","89"
"Black","Merton","78"
"Black","Middlesbrough","76"
"Black","Milton Keynes","84"
"Black","Newcastle upon Tyne","78"
"Black","Newham","89"
"Black","Norfolk","88"
"Black","North East Lincolnshire","100"
"Black","North Lincolnshire","64"
"Black","North Somerset","75"
"Black","North Tyneside","88"
"Black","North Yorkshire","77"
"Black","Northamptonshire","84"
"Black","Northumberland","100"
"Black","Nottingham","86"
"Black","Nottinghamshire","87"
"Black","Oldham","82"
"Black","Oxfordshire","80"
"Black","Peterborough","86"
"Black","Plymouth","79"
"Black","Portsmouth","75"
"Black","Reading","84"
"Black","Redbridge","82"
"Black","Redcar and Cleveland","100"
"Black","Richmond upon Thames","76"
"Black","Rochdale","76"
"Black","Rotherham","76"
"Black","Rutland","100"
"Black","Salford","80"
"Black","Sandwell","84"
"Black","Sefton","93"
"Black","Sheffield","80"
"Black","Shropshire","83"
"Black","Slough","87"
"Black","Solihull","91"
"Black","Somerset","88"
"Black","South Gloucestershire","92"
"Black","South Tyneside","67"
"Black","Southampton","83"
"Black","Southend-on-Sea","86"
"Black","Southwark","84"
"Black","St. Helens","83"
"Black","Staffordshire","79"
"Black","Stockport","79"
"Black","Stockton-on-Tees","87"
"Black","Stoke-on-Trent","84"
"Black","Suffolk","86"
"Black","Sunderland","87"
"Black","Surrey","81"
"Black","Sutton","89"
"Black","Swindon","84"
"Black","Tameside","81"
"Black","Telford and Wrekin","86"
"Black","Thurrock","89"
"Black","Torbay","100"
"Black","Tower Hamlets","87"
"Black","Trafford","76"
"Black","Wakefield","86"
"Black","Walsall","84"
"Black","Waltham Forest","86"
"Black","Wandsworth","82"
"Black","Warrington","90"
"Black","Warwickshire","90"
"Black","West Berkshire","87"
"Black","West Sussex","85"
"Black","Westminster","81"
"Black","Wigan","78"
"Black","Wiltshire","76"
"Black","Windsor and Maidenhead","78"
"Black","Wirral","100"
"Black","Wokingham","93"
"Black","Wolverhampton","85"
"Black","Worcestershire","84"
"Black","York","100"
"Chinese","Barking and Dagenham","100"
"Chinese","Barnet","88"
"Chinese","Barnsley","100"
"Chinese","Bath and North East Somerset","100"
"Chinese","Bedford","100"
"Chinese","Bexley","92"
"Chinese","Birmingham","89"
"Chinese","Blackburn with Darwen","86"
"Chinese","Blackpool","90"
"Chinese","Bolton","89"
"Chinese","Bournemouth, Christchurch and Poole","96"
"Chinese","Bracknell Forest","100"
"Chinese","Bradford","100"
"Chinese","Brent","91"
"Chinese","Brighton and Hove","79"
"Chinese","Bristol, City of","91"
"Chinese","Bromley","96"
"Chinese","Buckinghamshire","78"
"Chinese","Bury","100"
"Chinese","Calderdale","90"
"Chinese","Cambridgeshire","93"
"Chinese","Camden","88"
"Chinese","Central Bedfordshire","100"
"Chinese","Cheshire East","90"
"Chinese","Cheshire West and Chester","92"
"Chinese","City of London","!"
"Chinese","Cornwall","88"
"Chinese","County Durham","95"
"Chinese","Coventry","91"
"Chinese","Croydon","90"
"Chinese","Cumbria","100"
"Chinese","Darlington","100"
"Chinese","Derby","95"
"Chinese","Derbyshire","79"
"Chinese","Devon","89"
"Chinese","Doncaster","93"
"Chinese","Dorset","86"
"Chinese","Dudley","79"
"Chinese","Ealing","100"
"Chinese","East Riding of Yorkshire","100"
"Chinese","East Sussex","78"
"Chinese","Enfield","96"
"Chinese","Essex","89"
"Chinese","Gateshead","100"
"Chinese","Gloucestershire","94"
"Chinese","Greenwich","92"
"Chinese","Hackney","100"
"Chinese","Halton","100"
"Chinese","Hammersmith and Fulham","100"
"Chinese","Hampshire","96"
"Chinese","Haringey","91"
"Chinese","Harrow","91"
"Chinese","Hartlepool","100"
"Chinese","Havering","100"
"Chinese","Herefordshire, County of","100"
"Chinese","Hertfordshire","94"
"Chinese","Hillingdon","100"
"Chinese","Hounslow","93"
"Chinese","Isle of Wight","100"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","100"
"Chinese","Kensington and Chelsea","100"
"Chinese","Kent","100"
"Chinese","Kingston upon Hull, City of","100"
"Chinese","Kingston upon Thames","100"
"Chinese","Kirklees","79"
"Chinese","Knowsley","100"
"Chinese","Lambeth","100"
"Chinese","Lancashire","81"
"Chinese","Leeds","91"
"Chinese","Leicester","84"
"Chinese","Leicestershire","93"
"Chinese","Lewisham","85"
"Chinese","Lincolnshire","90"
"Chinese","Liverpool","81"
"Chinese","Luton","100"
"Chinese","Manchester","83"
"Chinese","Medway","94"
"Chinese","Merton","91"
"Chinese","Middlesbrough","100"
"Chinese","Milton Keynes","88"
"Chinese","Newcastle upon Tyne","95"
"Chinese","Newham","100"
"Chinese","Norfolk","79"
"Chinese","North East Lincolnshire","0"
"Chinese","North Lincolnshire","100"
"Chinese","North Somerset","33"
"Chinese","North Tyneside","100"
"Chinese","North Yorkshire","91"
"Chinese","Northamptonshire","93"
"Chinese","Northumberland","92"
"Chinese","Nottingham","92"
"Chinese","Nottinghamshire","93"
"Chinese","Oldham","88"
"Chinese","Oxfordshire","83"
"Chinese","Peterborough","100"
"Chinese","Plymouth","100"
"Chinese","Portsmouth","86"
"Chinese","Reading","92"
"Chinese","Redbridge","93"
"Chinese","Redcar and Cleveland","N/A"
"Chinese","Richmond upon Thames","87"
"Chinese","Rochdale","80"
"Chinese","Rotherham","88"
"Chinese","Rutland","100"
"Chinese","Salford","87"
"Chinese","Sandwell","80"
"Chinese","Sefton","100"
"Chinese","Sheffield","95"
"Chinese","Shropshire","100"
"Chinese","Slough","100"
"Chinese","Solihull","88"
"Chinese","Somerset","100"
"Chinese","South Gloucestershire","94"
"Chinese","South Tyneside","100"
"Chinese","Southampton","100"
"Chinese","Southend-on-Sea","100"
"Chinese","Southwark","96"
"Chinese","St. Helens","100"
"Chinese","Staffordshire","87"
"Chinese","Stockport","94"
"Chinese","Stockton-on-Tees","100"
"Chinese","Stoke-on-Trent","100"
"Chinese","Suffolk","91"
"Chinese","Sunderland","89"
"Chinese","Surrey","96"
"Chinese","Sutton","95"
"Chinese","Swindon","100"
"Chinese","Tameside","82"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","90"
"Chinese","Torbay","100"
"Chinese","Tower Hamlets","100"
"Chinese","Trafford","95"
"Chinese","Wakefield","75"
"Chinese","Walsall","90"
"Chinese","Waltham Forest","89"
"Chinese","Wandsworth","90"
"Chinese","Warrington","94"
"Chinese","Warwickshire","100"
"Chinese","West Berkshire","100"
"Chinese","West Sussex","94"
"Chinese","Westminster","90"
"Chinese","Wigan","100"
"Chinese","Wiltshire","92"
"Chinese","Windsor and Maidenhead","100"
"Chinese","Wirral","100"
"Chinese","Wokingham","96"
"Chinese","Wolverhampton","86"
"Chinese","Worcestershire","90"
"Chinese","York","50"
"Mixed","Barking and Dagenham","85"
"Mixed","Barnet","87"
"Mixed","Barnsley","85"
"Mixed","Bath and North East Somerset","81"
"Mixed","Bedford","76"
"Mixed","Bexley","86"
"Mixed","Birmingham","83"
"Mixed","Blackburn with Darwen","84"
"Mixed","Blackpool","85"
"Mixed","Bolton","81"
"Mixed","Bournemouth, Christchurch and Poole","83"
"Mixed","Bracknell Forest","92"
"Mixed","Bradford","79"
"Mixed","Brent","86"
"Mixed","Brighton and Hove","82"
"Mixed","Bristol, City of","82"
"Mixed","Bromley","87"
"Mixed","Buckinghamshire","81"
"Mixed","Bury","81"
"Mixed","Calderdale","87"
"Mixed","Cambridgeshire","82"
"Mixed","Camden","83"
"Mixed","Central Bedfordshire","86"
"Mixed","Cheshire East","91"
"Mixed","Cheshire West and Chester","81"
"Mixed","City of London","!"
"Mixed","Cornwall","86"
"Mixed","County Durham","86"
"Mixed","Coventry","82"
"Mixed","Croydon","84"
"Mixed","Cumbria","82"
"Mixed","Darlington","73"
"Mixed","Derby","87"
"Mixed","Derbyshire","83"
"Mixed","Devon","91"
"Mixed","Doncaster","82"
"Mixed","Dorset","81"
"Mixed","Dudley","78"
"Mixed","Ealing","88"
"Mixed","East Riding of Yorkshire","81"
"Mixed","East Sussex","81"
"Mixed","Enfield","86"
"Mixed","Essex","84"
"Mixed","Gateshead","79"
"Mixed","Gloucestershire","80"
"Mixed","Greenwich","83"
"Mixed","Hackney","90"
"Mixed","Halton","80"
"Mixed","Hammersmith and Fulham","86"
"Mixed","Hampshire","84"
"Mixed","Haringey","85"
"Mixed","Harrow","84"
"Mixed","Hartlepool","89"
"Mixed","Havering","85"
"Mixed","Herefordshire, County of","75"
"Mixed","Hertfordshire","88"
"Mixed","Hillingdon","88"
"Mixed","Hounslow","86"
"Mixed","Isle of Wight","78"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","87"
"Mixed","Kensington and Chelsea","88"
"Mixed","Kent","85"
"Mixed","Kingston upon Hull, City of","87"
"Mixed","Kingston upon Thames","85"
"Mixed","Kirklees","74"
"Mixed","Knowsley","85"
"Mixed","Lambeth","79"
"Mixed","Lancashire","80"
"Mixed","Leeds","82"
"Mixed","Leicester","83"
"Mixed","Leicestershire","86"
"Mixed","Lewisham","84"
"Mixed","Lincolnshire","84"
"Mixed","Liverpool","83"
"Mixed","Luton","77"
"Mixed","Manchester","81"
"Mixed","Medway","80"
"Mixed","Merton","81"
"Mixed","Middlesbrough","77"
"Mixed","Milton Keynes","88"
"Mixed","Newcastle upon Tyne","83"
"Mixed","Newham","88"
"Mixed","Norfolk","80"
"Mixed","North East Lincolnshire","81"
"Mixed","North Lincolnshire","78"
"Mixed","North Somerset","82"
"Mixed","North Tyneside","80"
"Mixed","North Yorkshire","86"
"Mixed","Northamptonshire","83"
"Mixed","Northumberland","85"
"Mixed","Nottingham","77"
"Mixed","Nottinghamshire","78"
"Mixed","Oldham","79"
"Mixed","Oxfordshire","83"
"Mixed","Peterborough","80"
"Mixed","Plymouth","86"
"Mixed","Portsmouth","85"
"Mixed","Reading","80"
"Mixed","Redbridge","82"
"Mixed","Redcar and Cleveland","92"
"Mixed","Richmond upon Thames","89"
"Mixed","Rochdale","83"
"Mixed","Rotherham","81"
"Mixed","Rutland","91"
"Mixed","Salford","84"
"Mixed","Sandwell","84"
"Mixed","Sefton","80"
"Mixed","Sheffield","76"
"Mixed","Shropshire","87"
