"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Value_type","Denominator","Numerator"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","All","No identified SEN","selective schools","State-funded mainstream","All","73.9","Score out of 90","12261","906386.32"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Academies and free schools","All","52.6","Score out of 90","183862","9667098.55"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","All state-funded","All","52.4","Score out of 90","237711","12464713.59"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Converter Academies","All","54.7","Score out of 90","125296","6851479.91"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","FE 14-16 Colleges","All","!","Score out of 90","2","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Free Schools","All","54.6","Score out of 90","5900","322008.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","LA maintained mainstream","All","51.9","Score out of 90","53606","2783061.79"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Sponsored Academies","All","47.3","Score out of 90","50392","2385968.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","All","52.4","Score out of 90","237711","12464713.59"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Church of England","54","Score out of 90","13228","714136.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Hindu","65.3","Score out of 90","133","8682.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Jewish","64.9","Score out of 90","576","37360"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Muslim","65.6","Score out of 90","495","32482.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","No religious character","52","Score out of 90","196074","10196464.09"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Other Christian faith","57.6","Score out of 90","4801","276305"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Roman catholic","53.5","Score out of 90","22189","1187483"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","State-funded mainstream","Sikh","55.3","Score out of 90","213","11784.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","Studio Schools","All","44.9","Score out of 90","481","21601.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","All","University Technical Colleges (UTCs)","All","48","Score out of 90","1793","86040.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","non-selective schools in highly selective areas","State-funded mainstream","All","47.2","Score out of 90","14366","677985"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","non-selective schools in other areas","State-funded mainstream","All","51.5","Score out of 90","211082","10880327.27"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","No SEN","All","selective schools","State-funded mainstream","All","73.9","Score out of 90","12261","906386.32"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Academies and free schools","All","29.6","Score out of 90","6149","182057.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","All state-funded","All","16.2","Score out of 90","16679","270343.39"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Converter Academies","All","31.1","Score out of 90","3920","121752.38"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","FE 14-16 Colleges","All","!","Score out of 90","1","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Free Schools","All","29.1","Score out of 90","219","6378.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","LA maintained mainstream","All","28.2","Score out of 90","1950","55077.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Sponsored Academies","All","26.6","Score out of 90","1924","51143.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","All","29.3","Score out of 90","8105","237347.26"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Church of England","31.9","Score out of 90","473","15105.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Hindu","35.8","Score out of 90","3","107.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Jewish","35.9","Score out of 90","32","1149.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Muslim","23.7","Score out of 90","3","71"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","No religious character","28.9","Score out of 90","6800","196373.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Other Christian faith","30.2","Score out of 90","153","4615"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Roman catholic","31.2","Score out of 90","636","19816.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded mainstream","Sikh","26.3","Score out of 90","4","105"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","State-funded special schools","All","3.8","Score out of 90","8574","32996.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","Studio Schools","All","20.3","Score out of 90","26","526.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","All","University Technical Colleges (UTCs)","All","37.6","Score out of 90","60","2256"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","non-selective schools in highly selective areas","State-funded mainstream","All","30.2","Score out of 90","657","19861"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","non-selective schools in other areas","State-funded mainstream","All","28.9","Score out of 90","7387","213509.01"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN State EHC","All","selective schools","State-funded mainstream","All","66.2","Score out of 90","60","3973.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Academies and free schools","All","35.7","Score out of 90","29540","1055084.89"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","All state-funded","All","35.6","Score out of 90","38710","1376659.14"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Converter Academies","All","37.6","Score out of 90","18006","676533.39"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","FE 14-16 Colleges","All","8","Score out of 90","10","80"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Free Schools","All","38.2","Score out of 90","932","35638.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","LA maintained mainstream","All","35.2","Score out of 90","9081","319388.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Sponsored Academies","All","32","Score out of 90","9959","318581.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","All","35.6","Score out of 90","38662","1376213.39"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Church of England","36.2","Score out of 90","2218","80261.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Hindu","!","Score out of 90","12","!"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Jewish","47.2","Score out of 90","71","3350.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Muslim","45.9","Score out of 90","45","2064"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","No religious character","35.2","Score out of 90","32379","1141318.89"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Other Christian faith","42.2","Score out of 90","674","28452.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Roman catholic","36.9","Score out of 90","3229","119236.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded mainstream","Sikh","40.9","Score out of 90","24","981.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","State-funded special schools","All","9.3","Score out of 90","48","445.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","Studio Schools","All","35.4","Score out of 90","153","5422.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","All","University Technical Colleges (UTCs)","All","38.6","Score out of 90","490","18908.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","non-selective schools in highly selective areas","State-funded mainstream","All","33.6","Score out of 90","2738","92123.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","non-selective schools in other areas","State-funded mainstream","All","35.2","Score out of 90","35282","1241203.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","All","SEN Supp","All","selective schools","State-funded mainstream","All","67.7","Score out of 90","632","42806.38"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Academies and free schools","All","38.8","Score out of 90","38619","1497529.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","All state-funded","All","36.2","Score out of 90","54890","1987539.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Converter Academies","All","40","Score out of 90","19995","799357.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","FE 14-16 Colleges","All","9.1","Score out of 90","11","100.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Free Schools","All","43.3","Score out of 90","1398","60527.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","LA maintained mainstream","All","39","Score out of 90","12121","473072.63"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Sponsored Academies","All","36.9","Score out of 90","16599","612795.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","All","38.8","Score out of 90","50785","1972420.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Church of England","40.3","Score out of 90","2824","113916.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Hindu","51","Score out of 90","15","764.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Jewish","50.4","Score out of 90","43","2165.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Muslim","62.1","Score out of 90","93","5778"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","No religious character","38.4","Score out of 90","42530","1633086.63"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Other Christian faith","43.1","Score out of 90","1048","45194"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Roman catholic","40.5","Score out of 90","4189","169812.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded mainstream","Sikh","50.1","Score out of 90","32","1603"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","State-funded special schools","All","3.7","Score out of 90","4105","15118.63"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","Studio Schools","All","39","Score out of 90","142","5538.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","All","University Technical Colleges (UTCs)","All","39.8","Score out of 90","485","19310.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","36","Score out of 90","3217","115884.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","non-selective schools in other areas","State-funded mainstream","All","38.6","Score out of 90","46952","1814336.63"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","All","All","selective schools","State-funded mainstream","All","69.6","Score out of 90","605","42099"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","No SEN","All","All","All state-funded","All","42.8","Score out of 90","37396","1601883.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","SEN State EHC","All","All","All state-funded","All","11.7","Score out of 90","6637","77423.26"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","FSM","SEN Supp","All","All","All state-funded","All","28.4","Score out of 90","10851","308178.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Academies and free schools","All","52","Score out of 90","180932","9406710.82"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","All state-funded","All","50.8","Score out of 90","238759","12131490.86"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Converter Academies","All","53.8","Score out of 90","127227","6850408.43"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","FE 14-16 Colleges","All","13.3","Score out of 90","551","7312.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Free Schools","All","53.7","Score out of 90","5653","303497.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","LA maintained mainstream","All","51.1","Score out of 90","52516","2684455.04"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Sponsored Academies","All","46.9","Score out of 90","45676","2142897.51"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","All","51.7","Score out of 90","234242","12113167.61"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Church of England","53.1","Score out of 90","13095","695587.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Hindu","63.9","Score out of 90","133","8494.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Jewish","62.4","Score out of 90","636","39694.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Muslim","64.1","Score out of 90","450","28839.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","No religious character","51.4","Score out of 90","192723","9901069.86"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Other Christian faith","57.7","Score out of 90","4580","264178.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Roman catholic","52.9","Score out of 90","21865","1156723.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded mainstream","Sikh","53.9","Score out of 90","209","11268.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","State-funded special schools","All","4.1","Score out of 90","4517","18323.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","Studio Schools","All","42.5","Score out of 90","518","22012.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","All","University Technical Colleges (UTCs)","All","47.3","Score out of 90","1858","87894.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.3","Score out of 90","14544","674084.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","non-selective schools in other areas","State-funded mainstream","All","50.9","Score out of 90","206799","10520703.16"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","All","All","selective schools","State-funded mainstream","All","73.8","Score out of 90","12348","911066.95"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","No SEN","All","All","All state-funded","All","54.2","Score out of 90","200315","10862830.34"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","SEN State EHC","All","All","All state-funded","All","19.2","Score out of 90","10042","192920.13"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Boys","Non-FSM","SEN Supp","All","All","All state-funded","All","38.4","Score out of 90","27859","1068480.64"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","Academies and free schools","All","54.7","Score out of 90","213262","11656870.93"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","All","53.9","Score out of 90","282214","15200279.4"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","Church of England","55.1","Score out of 90","15515","854581.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","Hindu","68.1","Score out of 90","147","10015"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","Jewish","66.2","Score out of 90","774","51210.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","Muslim","65.1","Score out of 90","892","58079.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","No religious character","53.5","Score out of 90","231914","12395864.27"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","Other Christian faith","56.5","Score out of 90","4816","272097.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","Roman catholic","56.1","Score out of 90","27315","1533040.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","All state-funded","Sikh","60.7","Score out of 90","199","12072"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","Converter Academies","All","56.8","Score out of 90","147921","8406969.3"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","FE 14-16 Colleges","All","20.7","Score out of 90","642","13318.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","Free Schools","All","55.5","Score out of 90","6091","337819.63"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","LA maintained mainstream","All","54.2","Score out of 90","64661","3502625.97"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","Sponsored Academies","All","49.2","Score out of 90","57707","2839319.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","All","54.5","Score out of 90","278885","15192764.4"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","Church of England","55.1","Score out of 90","15515","854581.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","Hindu","68.1","Score out of 90","147","10015"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","Jewish","66.2","Score out of 90","774","51210.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","Muslim","65.1","Score out of 90","892","58079.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","No religious character","54.2","Score out of 90","228585","12388349.27"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","Other Christian faith","56.5","Score out of 90","4816","272097.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","Roman catholic","56.1","Score out of 90","27315","1533040.88"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded mainstream","Sikh","60.7","Score out of 90","199","12072"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","State-funded special schools","All","2.3","Score out of 90","3329","7515"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","Studio Schools","All","45","Score out of 90","511","23008.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","All","University Technical Colleges (UTCs)","All","48.2","Score out of 90","1032","49754"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","Academies and free schools","All","49.4","Score out of 90","14854","733063"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","All state-funded","All","49.3","Score out of 90","17392","857685.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","Converter Academies","All","50.5","Score out of 90","9519","480530.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","Free Schools","All","55.7","Score out of 90","473","26367.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","LA maintained mainstream","All","49.1","Score out of 90","2538","124622.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","Sponsored Academies","All","46.5","Score out of 90","4803","223459"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","49.3","Score out of 90","17392","857685.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in highly selective areas","University Technical Colleges (UTCs)","All","45.9","Score out of 90","59","2706.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","Academies and free schools","All","53.8","Score out of 90","187141","10066236.1"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","All state-funded","All","53.8","Score out of 90","248067","13352510.19"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","Converter Academies","All","55.6","Score out of 90","127265","7077116.22"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","Free Schools","All","55.4","Score out of 90","5618","311452.38"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","LA maintained mainstream","All","53.9","Score out of 90","60606","3266325.09"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","Sponsored Academies","All","49.4","Score out of 90","52774","2607611.25"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","State-funded mainstream","All","53.8","Score out of 90","248067","13352510.19"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","Studio Schools","All","45","Score out of 90","511","23008.75"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","non-selective schools in other areas","University Technical Colleges (UTCs)","All","48.4","Score out of 90","973","47047.5"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","selective schools","Academies and free schools","All","76.1","Score out of 90","11267","857571.83"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","selective schools","All state-funded","All","75.8","Score out of 90","12784","969250.46"
"Average Attainment 8 score","All","All","2020-2021","Academic year","England","Country","E92000001","Girls","All","All","All","selective schools","Converter Academies","All","76.3","Score out of 90","11137","849322.83"
