"Gender","Ethnicity","Score","Pupils"
"Boys","All","48.1","293,649"
"Boys","Asian","53.0","32,822"
"Boys","Bangladeshi","53.0","5,148"
"Boys","Indian","59.2","8,711"
"Boys","Pakistani","47.9","13,246"
"Boys","Asian other","55.6","5,717"
"Boys","Black","46.3","17,473"
"Boys","Black African","48.5","11,552"
"Boys","Black Caribbean","40.2","3,604"
"Boys","Black other","44.8","2,317"
"Boys","Chinese","67.4","1,025"
"Boys","Mixed","48.4","15,997"
"Boys","Mixed White/Asian","53.4","3,910"
"Boys","Mixed White/Black African","47.6","2,083"
"Boys","Mixed White/Black Caribbean","41.7","4,135"
"Boys","Mixed other","50.1","5,869"
"Boys","White","47.4","215,374"
"Boys","White British","47.4","197,283"
"Boys","White Irish","52.9","873"
"Boys","Gypsy/Roma","21.0","720"
"Boys","Irish Traveller","29.2","99"
"Boys","White other","49.3","16,399"
"Boys","Other","48.8","5,818"
"Boys","Unknown","43.3","5,140"
"Girls","All","53.9","282,214"
"Girls","Asian","58.7","30,882"
"Girls","Bangladeshi","58.3","5,099"
"Girls","Indian","65.0","8,190"
"Girls","Pakistani","53.4","12,505"
"Girls","Asian other","62.0","5,088"
"Girls","Black","53.8","17,438"
"Girls","Black African","55.9","11,688"
"Girls","Black Caribbean","47.8","3,538"
"Girls","Black other","52.0","2,212"
"Girls","Chinese","70.8","1,076"
"Girls","Mixed","54.3","15,775"
"Girls","Mixed White/Asian","59.2","3,621"
"Girls","Mixed White/Black African","53.7","2,010"
"Girls","Mixed White/Black Caribbean","48.1","4,261"
"Girls","Mixed other","55.9","5,883"
"Girls","White","53.2","206,621"
"Girls","White British","53.1","189,286"
"Girls","White Irish","58.5","848"
"Girls","Gypsy/Roma","24.5","705"
"Girls","Irish Traveller","32.8","72"
"Girls","White other","55.0","15,710"
"Girls","Other","54.8","5,447"
"Girls","Unknown","47.0","4,975"
