"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","England","Country","E92000001","All","50.9","Score out of 90","575863","29319309.77"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","England","Country","E92000001","Boys","48.1","Score out of 90","293649","14119030.37"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","England","Country","E92000001","Girls","53.9","Score out of 90","282214","15200279.4"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North East","Region","E12000001","All","49.2","Score out of 90","27055","1331999.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North East","Region","E12000001","Boys","46.6","Score out of 90","13783","642061.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North East","Region","E12000001","Girls","52","Score out of 90","13272","689938"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North West","Region","E12000002","All","49.6","Score out of 90","79949","3962402.7"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North West","Region","E12000002","Boys","46.7","Score out of 90","40847","1905878.57"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","North West","Region","E12000002","Girls","52.6","Score out of 90","39102","2056524.13"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Yorkshire and The Humber","Region","E12000003","All","49.1","Score out of 90","58783","2887045"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Yorkshire and The Humber","Region","E12000003","Boys","46.1","Score out of 90","29745","1370090.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Yorkshire and The Humber","Region","E12000003","Girls","52.2","Score out of 90","29038","1516954.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Midlands","Region","E12000004","All","49.6","Score out of 90","49843","2472688.79"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Midlands","Region","E12000004","Boys","46.9","Score out of 90","25421","1193491.39"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East Midlands","Region","E12000004","Girls","52.4","Score out of 90","24422","1279197.4"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Midlands","Region","E12000005","All","49.5","Score out of 90","65625","3246994.32"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Midlands","Region","E12000005","Boys","46.5","Score out of 90","33634","1564629.03"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","West Midlands","Region","E12000005","Girls","52.6","Score out of 90","31991","1682365.29"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East of England","Region","E12000006","All","51","Score out of 90","64647","3300088.66"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East of England","Region","E12000006","Boys","48.2","Score out of 90","33016","1590913.4"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","East of England","Region","E12000006","Girls","54","Score out of 90","31631","1709175.26"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","London","Region","E12000007","All","54.1","Score out of 90","85646","4633326.34"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","London","Region","E12000007","Boys","51.3","Score out of 90","43414","2226448.04"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","London","Region","E12000007","Girls","57","Score out of 90","42232","2406878.3"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Inner London","Region","E13000001","All","53.4","Score out of 90","28891","1542519.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Inner London","Region","E13000001","Boys","50.5","Score out of 90","14548","733973.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Inner London","Region","E13000001","Girls","56.4","Score out of 90","14343","808546"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Outer London","Region","E13000002","All","54.5","Score out of 90","56755","3090806.59"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Outer London","Region","E13000002","Boys","51.7","Score out of 90","28866","1492474.29"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Outer London","Region","E13000002","Girls","57.3","Score out of 90","27889","1598332.3"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South East","Region","E12000008","All","52.1","Score out of 90","90615","4725537.51"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South East","Region","E12000008","Boys","49.4","Score out of 90","46536","2297112.28"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South East","Region","E12000008","Girls","55.1","Score out of 90","44079","2428425.23"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South West","Region","E12000009","All","51.4","Score out of 90","53700","2759227.2"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South West","Region","E12000009","Boys","48.7","Score out of 90","27253","1328405.91"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","South West","Region","E12000009","Girls","54.1","Score out of 90","26447","1430821.29"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","County Durham","Local authority","E06000047","All","50.1","Score out of 90","5269","263793"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","County Durham","Local authority","E06000047","Boys","47.1","Score out of 90","2686","126626.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","County Durham","Local authority","E06000047","Girls","53.1","Score out of 90","2583","137166.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Darlington","Local authority","E06000005","All","50.7","Score out of 90","1141","57844.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Darlington","Local authority","E06000005","Boys","47.4","Score out of 90","579","27458.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Darlington","Local authority","E06000005","Girls","54.1","Score out of 90","562","30386.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Gateshead","Local authority","E08000037","All","51.3","Score out of 90","1971","101152.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Gateshead","Local authority","E08000037","Boys","48.7","Score out of 90","966","47004.5"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Gateshead","Local authority","E08000037","Girls","53.9","Score out of 90","1005","54147.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Hartlepool","Local authority","E06000001","All","47.4","Score out of 90","1070","50763.75"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Hartlepool","Local authority","E06000001","Boys","44.6","Score out of 90","528","23523.25"
"Average Attainment 8 score","All","ONS 2011 5+1","2020-2021","Academic year","Hartlepool","Local authority","E06000001","Girls","50.3","Score out of 90","542","27240.5"
