"","2017/18","2018/19","2019/20"
"Ethnicity","Number per 100,000","Number per 100,000","Number per 100,000"
"Asian","3,193","3,458","3,636"
"Black","4,555","4,832","5,098"
"Mixed","4,800","7,950","7,147"
"White","3,704","4,010","4,180"
"Other","7,380","7,327","7,402"
