"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","80","%","3500","2813"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All"," 10-11","86","%","4186","3613"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All"," 10-11","81","%","2816","2285"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All"," 10-11","80","%","1814","1444"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bedford","Local authority","E06000055","All"," 10-11","71","%","2170","1533"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bexley","Local authority","E09000004","All"," 10-11","81","%","3366","2729"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Birmingham","Local authority","E08000025","All"," 10-11","77","%","16232","12487"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Blackburn with Darwen","Local authority","E06000008","All"," 10-11","82","%","2198","1793"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Blackpool","Local authority","E06000009","All"," 10-11","82","%","1674","1378"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bolton","Local authority","E08000001","All"," 10-11","79","%","3947","3124"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bournemouth, Christchurch and Poole","Local authority","E06000058","All"," 10-11","81","%","3832","3120"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bracknell Forest","Local authority","E06000036","All"," 10-11","79","%","1423","1123"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bradford","Local authority","E08000032","All"," 10-11","78","%","7892","6150"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Brent","Local authority","E09000005","All"," 10-11","84","%","3659","3070"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Brighton and Hove","Local authority","E06000043","All"," 10-11","79","%","2694","2124"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bristol, City of","Local authority","E06000023","All"," 10-11","78","%","4853","3786"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bromley","Local authority","E09000006","All"," 10-11","85","%","3738","3189"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Buckinghamshire","Local authority","E10000002","All"," 10-11","79","%","6267","4926"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Bury","Local authority","E08000002","All"," 10-11","80","%","2376","1900"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Calderdale","Local authority","E08000033","All"," 10-11","79","%","2741","2169"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cambridgeshire","Local authority","E10000003","All"," 10-11","77","%","7010","5372"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Camden","Local authority","E09000007","All"," 10-11","86","%","1534","1320"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Central Bedfordshire","Local authority","E06000056","All"," 10-11","77","%","3482","2672"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cheshire East","Local authority","E06000049","All"," 10-11","80","%","4242","3387"
"Percentage of pupils reaching the expected standard in key stage 2 maths","All","ONS 2011 5+1","2018-2019","Academic Year","Cheshire West and Chester","Local authority","E06000050","All"," 10-11","78","%","3996","3111"
