"","2008/09 to 2010/11","2009/10 to 2011/12","2010/11 to 2012/13","2011/12 to 2013/14","2012/13 to 2014/15","2013/14 to 2015/16","2014/15 to 2016/17","2015/16 to 2017/18"
"Ethnicity","£","£","£","£","£","£","£","£"
"All","127","134","136","141","145","150","155","154"
"Asian","76","72","78","92","89","81","73","69"
"Black","71","70","65","67","76","76","69","62"
"Mixed","113","148","?","?","146","116","93","81"
"White British","129","136","139","144","149","154","160","160"
"White other","116","121","110","100","103","106","104","97"
"Other","116","128","135","148","151","141","125","131"
