"","2008/09 to 2010/11","2009/10 to 2011/12","2010/11 to 2012/13","2011/12 to 2013/14","2012/13 to 2014/15","2013/14 to 2015/16","2014/15 to 2016/17","2015/16 to 2017/18"
"Ethnicity","£","£","£","£","£","£","£","£"
"All","510","516","511","509","519","525","534","533"
"Asian","429","445","447","465","435","410","408","387"
"Black","403","403","377","369","382","384","387","371"
"Mixed","448","517","?","?","455","493","509","485"
"White British","513","519","515","513","523","532","540","541"
"White other","502","507","488","479","474","477","486","478"
"Other","491","496","547","554","628","591","628","578"
