"Time","Ethnicity","£"
"2008/09 to 2010/11","All","162"
"2008/09 to 2010/11","Asian","135"
"2008/09 to 2010/11","Black","129"
"2008/09 to 2010/11","Mixed","133"
"2008/09 to 2010/11","White British","164"
"2008/09 to 2010/11","White other","150"
"2008/09 to 2010/11","Other","143"
"2009/10 to 2011/12","All","166"
"2009/10 to 2011/12","Asian","132"
"2009/10 to 2011/12","Black","137"
"2009/10 to 2011/12","Mixed","138"
"2009/10 to 2011/12","White British","168"
"2009/10 to 2011/12","White other","145"
"2009/10 to 2011/12","Other","146"
"2010/11 to 2012/13","All","168"
"2010/11 to 2012/13","Asian","124"
"2010/11 to 2012/13","Black","133"
"2010/11 to 2012/13","Mixed","?"
"2010/11 to 2012/13","White British","170"
"2010/11 to 2012/13","White other","143"
"2010/11 to 2012/13","Other","132"
"2011/12 to 2013/14","All","170"
"2011/12 to 2013/14","Asian","124"
"2011/12 to 2013/14","Black","132"
"2011/12 to 2013/14","Mixed","?"
"2011/12 to 2013/14","White British","173"
"2011/12 to 2013/14","White other","143"
"2011/12 to 2013/14","Other","130"
"2012/13 to 2014/15","All","173"
"2012/13 to 2014/15","Asian","127"
"2012/13 to 2014/15","Black","130"
"2012/13 to 2014/15","Mixed","152"
"2012/13 to 2014/15","White British","176"
"2012/13 to 2014/15","White other","150"
"2012/13 to 2014/15","Other","133"
"2013/14 to 2015/16","All","176"
"2013/14 to 2015/16","Asian","131"
"2013/14 to 2015/16","Black","135"
"2013/14 to 2015/16","Mixed","150"
"2013/14 to 2015/16","White British","179"
"2013/14 to 2015/16","White other","147"
"2013/14 to 2015/16","Other","148"
"2014/15 to 2016/17","All","180"
"2014/15 to 2016/17","Asian","132"
"2014/15 to 2016/17","Black","132"
"2014/15 to 2016/17","Mixed","146"
"2014/15 to 2016/17","White British","183"
"2014/15 to 2016/17","White other","145"
"2014/15 to 2016/17","Other","140"
"2015/16 to 2017/18","All","182"
"2015/16 to 2017/18","Asian","131"
"2015/16 to 2017/18","Black","136"
"2015/16 to 2017/18","Mixed","156"
"2015/16 to 2017/18","White British","185"
"2015/16 to 2017/18","White other","145"
"2015/16 to 2017/18","Other","140"
