"","2008/09 to 2010/11","2009/10 to 2011/12","2010/11 to 2012/13","2011/12 to 2013/14","2012/13 to 2014/15","2013/14 to 2015/16","2014/15 to 2016/17","2015/16 to 2017/18"
"Ethnicity","£","£","£","£","£","£","£","£"
"All","162","166","168","170","173","176","180","182"
"Asian","135","132","124","124","127","131","132","131"
"Black","129","137","133","132","130","135","132","136"
"Mixed","133","138","?","?","152","150","146","156"
"White British","164","168","170","173","176","179","183","185"
"White other","150","145","143","143","150","147","145","145"
"Other","143","146","132","130","133","148","140","140"
