"Time","Ethnicity","%"
"2004","All","6"
"2004","Asian","9"
"2004","Indian","8"
"2004","Pakistani and Bangladeshi","9"
"2004","Asian other inc Chinese","8"
"2004","Black","9"
"2004","Mixed","9"
"2004","White","6"
"2004","White British","5"
"2004","White other","10"
"2004","Other","13"
"2005","All","6"
"2005","Asian","9"
"2005","Indian","9"
"2005","Pakistani and Bangladeshi","8"
"2005","Asian other inc Chinese","11"
"2005","Black","10"
"2005","Mixed","7"
"2005","White","5"
"2005","White British","5"
"2005","White other","9"
"2005","Other","11"
"2006","All","6"
"2006","Asian","9"
"2006","Indian","10"
"2006","Pakistani and Bangladeshi","9"
"2006","Asian other inc Chinese","9"
"2006","Black","8"
"2006","Mixed","7"
"2006","White","5"
"2006","White British","5"
"2006","White other","9"
"2006","Other","11"
"2007","All","6"
"2007","Asian","8"
"2007","Indian","7"
"2007","Pakistani and Bangladeshi","9"
"2007","Asian other inc Chinese","8"
"2007","Black","8"
"2007","Mixed","10"
"2007","White","5"
"2007","White British","5"
"2007","White other","8"
"2007","Other","11"
"2008","All","5"
"2008","Asian","8"
"2008","Indian","7"
"2008","Pakistani and Bangladeshi","9"
"2008","Asian other inc Chinese","9"
"2008","Black","8"
"2008","Mixed","9"
"2008","White","5"
"2008","White British","5"
"2008","White other","8"
"2008","Other","11"
"2009","All","6"
"2009","Asian","8"
"2009","Indian","8"
"2009","Pakistani and Bangladeshi","7"
"2009","Asian other inc Chinese","11"
"2009","Black","6"
"2009","Mixed","10"
"2009","White","5"
"2009","White British","5"
"2009","White other","8"
"2009","Other","11"
"2010","All","6"
"2010","Asian","9"
"2010","Indian","9"
"2010","Pakistani and Bangladeshi","10"
"2010","Asian other inc Chinese","10"
"2010","Black","9"
"2010","Mixed","9"
"2010","White","6"
"2010","White British","5"
"2010","White other","8"
"2010","Other","7"
"2011","All","6"
"2011","Asian","-"
"2011","Indian","-"
"2011","Pakistani and Bangladeshi","-"
"2011","Asian other inc Chinese","-"
"2011","Black","-"
"2011","Mixed","-"
"2011","White","-"
"2011","White British","-"
"2011","White other","-"
"2011","Other","-"
"2012","All","6"
"2012","Asian","9"
"2012","Indian","8"
"2012","Pakistani and Bangladeshi","10"
"2012","Asian other inc Chinese","9"
"2012","Black","10"
"2012","Mixed","11"
"2012","White","6"
"2012","White British","6"
"2012","White other","9"
"2012","Other","10"
"2013","All","6"
"2013","Asian","9"
"2013","Indian","9"
"2013","Pakistani and Bangladeshi","8"
"2013","Asian other inc Chinese","8"
"2013","Black","9"
"2013","Mixed","13"
"2013","White","6"
"2013","White British","6"
"2013","White other","9"
"2013","Other","8"
"2014","All","6"
"2014","Asian","8"
"2014","Indian","7"
"2014","Pakistani and Bangladeshi","8"
"2014","Asian other inc Chinese","9"
"2014","Black","10"
"2014","Mixed","10"
"2014","White","6"
"2014","White British","6"
"2014","White other","8"
"2014","Other","9"
"2015","All","6"
"2015","Asian","8"
"2015","Indian","7"
"2015","Pakistani and Bangladeshi","9"
"2015","Asian other inc Chinese","8"
"2015","Black","11"
"2015","Mixed","10"
"2015","White","6"
"2015","White British","5"
"2015","White other","9"
"2015","Other","9"
"2016","All","6"
"2016","Asian","7"
"2016","Indian","6"
"2016","Pakistani and Bangladeshi","8"
"2016","Asian other inc Chinese","8"
"2016","Black","10"
"2016","Mixed","9"
"2016","White","6"
"2016","White British","5"
"2016","White other","9"
"2016","Other","10"
"2017","All","6"
"2017","Asian","8"
"2017","Indian","7"
"2017","Pakistani and Bangladeshi","8"
"2017","Asian other inc Chinese","8"
"2017","Black","12"
"2017","Mixed","10"
"2017","White","5"
"2017","White British","5"
"2017","White other","8"
"2017","Other","9"
"2018","All","5"
"2018","Asian","7"
"2018","Indian","6"
"2018","Pakistani and Bangladeshi","8"
"2018","Asian other inc Chinese","8"
"2018","Black","11"
"2018","Mixed","8"
"2018","White","5"
"2018","White British","5"
"2018","White other","8"
"2018","Other","8"
"2019","All","5"
"2019","Asian","6"
"2019","Indian","5"
"2019","Pakistani and Bangladeshi","7"
"2019","Asian other inc Chinese","7"
"2019","Black","9"
"2019","Mixed","8"
"2019","White","5"
"2019","White British","5"
"2019","White other","7"
"2019","Other","9"
