"years after graduation","Ethnicity","Sustained employment only (%)","Further study with or without sustained employment (%)"
"1 Year After Graduation","All","64.2","24.6"
"1 Year After Graduation","Bangladeshi","62.8","25.6"
"1 Year After Graduation","Chinese","53.8","27.9"
"1 Year After Graduation","Indian","62.3","27.2"
"1 Year After Graduation","Pakistani","57.1","28.4"
"1 Year After Graduation","Any Other Asian Background","60.2","26.5"
"1 Year After Graduation","Black African","59.2","28.2"
"1 Year After Graduation","Black Caribbean","67.2","20.3"
"1 Year After Graduation","Any Other Black Background","61.5","24.5"
"1 Year After Graduation","Mixed White And Asian","60.4","25.8"
"1 Year After Graduation","Mixed White And Black African","61.5","22.9"
"1 Year After Graduation","Mixed White And Black Caribbean","65.9","21.4"
"1 Year After Graduation","Any Other Mixed Ethnic Background","59.0","25.7"
"1 Year After Graduation","White","65.6","24.0"
"1 Year After Graduation","Arab","47.2","34.1"
"1 Year After Graduation","Other","56.6","26.4"
"1 Year After Graduation","Unknown","63.4","20.1"
"3 Years After Graduation","All","72.5","15.2"
"3 Years After Graduation","Bangladeshi","74.2","13.2"
"3 Years After Graduation","Chinese","64.9","15.4"
"3 Years After Graduation","Indian","73.9","14.8"
"3 Years After Graduation","Pakistani","69.5","14.8"
"3 Years After Graduation","Any Other Asian Background","67.9","16.1"
"3 Years After Graduation","Black African","66.1","19.2"
"3 Years After Graduation","Black Caribbean","71.2","16.1"
"3 Years After Graduation","Any Other Black Background","65.6","18.9"
"3 Years After Graduation","Mixed White And Asian","69.7","14.9"
"3 Years After Graduation","Mixed White And Black African","67.4","15.2"
"3 Years After Graduation","Mixed White And Black Caribbean","72.0","14.7"
"3 Years After Graduation","Any Other Mixed Ethnic Background","66.8","15.8"
"3 Years After Graduation","White","73.7","15.0"
"3 Years After Graduation","Arab","56.2","18.6"
"3 Years After Graduation","Other","64.4","16.8"
"3 Years After Graduation","Unknown","69.0","14.4"
"5 Years After Graduation","All","76.1","10.6"
"5 Years After Graduation","Bangladeshi","77.4","7.2"
"5 Years After Graduation","Chinese","66.0","9.2"
"5 Years After Graduation","Indian","77.8","9.3"
"5 Years After Graduation","Pakistani","73.5","9.1"
"5 Years After Graduation","Any Other Asian Background","71.9","11.0"
"5 Years After Graduation","Black African","67.9","14.7"
"5 Years After Graduation","Black Caribbean","76.0","10.9"
"5 Years After Graduation","Any Other Black Background","65.8","12.6"
"5 Years After Graduation","Mixed White And Asian","72.1","11.3"
"5 Years After Graduation","Mixed White And Black African","69.5","11.4"
"5 Years After Graduation","Mixed White And Black Caribbean","76.7","9.9"
"5 Years After Graduation","Any Other Mixed Ethnic Background","69.0","12.4"
"5 Years After Graduation","White","77.3","10.4"
"5 Years After Graduation","Arab","60.9","18.0"
"5 Years After Graduation","Other","66.4","11.9"
"5 Years After Graduation","Unknown","69.9","11.1"
"10 Years After Graduation","All","79.2","5.7"
"10 Years After Graduation","Bangladeshi","77.8","4.3"
"10 Years After Graduation","Chinese","66.6","3.9"
"10 Years After Graduation","Indian","80.3","4.6"
"10 Years After Graduation","Pakistani","74.9","5.0"
"10 Years After Graduation","Any Other Asian Background","72.7","6.7"
"10 Years After Graduation","Black African","69.2","9.4"
"10 Years After Graduation","Black Caribbean","77.4","7.1"
"10 Years After Graduation","Any Other Black Background","72.8","6.8"
"10 Years After Graduation","Mixed White And Asian","76.9","6.5"
"10 Years After Graduation","Mixed White And Black African","69.7","6.9"
"10 Years After Graduation","Mixed White And Black Caribbean","78.3","6.7"
"10 Years After Graduation","Any Other Mixed Ethnic Background","73.3","6.3"
"10 Years After Graduation","White","80.4","5.6"
"10 Years After Graduation","Arab","!","!"
"10 Years After Graduation","Other","69.7","6.6"
"10 Years After Graduation","Unknown","74.4","6.6"
