"Years after graduation","Ethnicity","Sustained employment further study or both","No sustained destination","Activity not captured"
"1 Year After Graduation","All","88.8","7.2","4.0"
"1 Year After Graduation","Bangladeshi","88.4","8.5","3.1"
"1 Year After Graduation","Chinese","81.6","8.8","9.6"
"1 Year After Graduation","Indian","89.5","7.2","3.2"
"1 Year After Graduation","Pakistani","85.6","10.0","4.4"
"1 Year After Graduation","Any Other Asian Background","86.7","8.3","5.0"
"1 Year After Graduation","Black African","87.4","8.8","3.8"
"1 Year After Graduation","Black Caribbean","87.6","9.6","2.8"
"1 Year After Graduation","Any Other Black Background","86.1","10.4","3.6"
"1 Year After Graduation","Mixed White And Asian","86.2","8.4","5.4"
"1 Year After Graduation","Mixed White And Black African","84.4","10.0","5.6"
"1 Year After Graduation","Mixed White And Black Caribbean","87.4","9.3","3.3"
"1 Year After Graduation","Any Other Mixed Ethnic Background","84.7","10.0","5.3"
"1 Year After Graduation","White","89.6","6.6","3.8"
"1 Year After Graduation","Arab","81.3","12.0","6.7"
"1 Year After Graduation","Other","83.0","11.1","5.9"
"1 Year After Graduation","Unknown","83.5","9.3","7.2"
"3 Years After Graduation","All","87.7","6.2","6.1"
"3 Years After Graduation","Bangladeshi","87.5","8.1","4.5"
"3 Years After Graduation","Chinese","80.3","6.2","13.5"
"3 Years After Graduation","Indian","88.7","6.1","5.2"
"3 Years After Graduation","Pakistani","84.4","8.4","7.2"
"3 Years After Graduation","Any Other Asian Background","83.9","7.5","8.6"
"3 Years After Graduation","Black African","85.3","8.8","5.9"
"3 Years After Graduation","Black Caribbean","87.3","8.6","4.1"
"3 Years After Graduation","Any Other Black Background","84.6","8.7","6.8"
"3 Years After Graduation","Mixed White And Asian","84.7","7.7","7.6"
"3 Years After Graduation","Mixed White And Black African","82.5","8.9","8.6"
"3 Years After Graduation","Mixed White And Black Caribbean","86.7","7.7","5.6"
"3 Years After Graduation","Any Other Mixed Ethnic Background","82.6","8.2","9.2"
"3 Years After Graduation","White","88.6","5.6","5.8"
"3 Years After Graduation","Arab","74.8","11.9","13.4"
"3 Years After Graduation","Other","81.2","9.7","9.1"
"3 Years After Graduation","Unknown","83.5","8.0","8.6"
"5 Years After Graduation","All","86.7","5.6","7.7"
"5 Years After Graduation","Bangladeshi","84.7","7.9","7.5"
"5 Years After Graduation","Chinese","75.2","5.7","19.1"
"5 Years After Graduation","Indian","87.1","5.5","7.4"
"5 Years After Graduation","Pakistani","82.6","8.2","9.2"
"5 Years After Graduation","Any Other Asian Background","82.9","6.5","10.6"
"5 Years After Graduation","Black African","82.5","9.1","8.3"
"5 Years After Graduation","Black Caribbean","86.9","8.3","4.7"
"5 Years After Graduation","Any Other Black Background","78.4","10.7","10.9"
"5 Years After Graduation","Mixed White And Asian","83.4","6.6","10.0"
"5 Years After Graduation","Mixed White And Black African","80.8","6.4","12.7"
"5 Years After Graduation","Mixed White And Black Caribbean","86.6","6.8","6.6"
"5 Years After Graduation","Any Other Mixed Ethnic Background","81.4","7.7","10.9"
"5 Years After Graduation","White","87.7","5.0","7.2"
"5 Years After Graduation","Arab","78.9","7.0","14.1"
"5 Years After Graduation","Other","78.3","8.8","12.9"
"5 Years After Graduation","Unknown","81.0","7.8","11.2"
"10 Years After Graduation","All","84.9","4.5","10.5"
"10 Years After Graduation","Bangladeshi","82.1","6.7","11.2"
"10 Years After Graduation","Chinese","70.5","4.4","25.1"
"10 Years After Graduation","Indian","84.9","5.1","9.9"
"10 Years After Graduation","Pakistani","80.0","7.1","12.9"
"10 Years After Graduation","Any Other Asian Background","79.4","5.5","15.1"
"10 Years After Graduation","Black African","78.6","8.0","13.5"
"10 Years After Graduation","Black Caribbean","84.4","6.6","9.0"
"10 Years After Graduation","Any Other Black Background","79.6","8.4","12.0"
"10 Years After Graduation","Mixed White And Asian","83.5","4.7","11.8"
"10 Years After Graduation","Mixed White And Black African","76.6","7.1","16.3"
"10 Years After Graduation","Mixed White And Black Caribbean","85.0","5.9","9.1"
"10 Years After Graduation","Any Other Mixed Ethnic Background","79.6","6.5","13.8"
"10 Years After Graduation","White","86.1","4.1","9.9"
"10 Years After Graduation","Arab","!","!","!"
"10 Years After Graduation","Other","76.3","7.5","16.2"
"10 Years After Graduation","Unknown","81.0","5.9","13.1"
