"","All","Asian","Black","Mixed","White","Other"
"Highest qualification held","","","","","",""
"All","23%","38%","23%","23%","22%","35%"
"Level 4 and above","14%","22%","14%","14%","13%","22%"
"Level 3","18%","36%","21%","20%","17%","35%"
"Level 2","27%","46%","31%","30%","25%","?"
"Below Level 2","33%","50%","29%","?","32%","?"
"Other qualifications","31%","48%","29%","?","26%","49%"
"No qualifications","59%","75%","58%","?","56%","70%"
