"Ethnicity","Geography","boys","girls"
"Asian","Isle of Wight","100","67"
"Asian","Isles of Scilly","!","!"
"Asian","Islington","78","86"
"Asian","Kensington and Chelsea","90","85"
"Asian","Kent","85","90"
"Asian","Kingston upon Hull, City of","100","74"
"Asian","Kingston upon Thames","78","81"
"Asian","Kirklees","70","75"
"Asian","Knowsley","89","86"
"Asian","Lambeth","76","85"
"Asian","Lancashire","72","74"
"Asian","Leeds","67","71"
"Asian","Leicester","77","79"
"Asian","Leicestershire","79","81"
"Asian","Lewisham","76","87"
"Asian","Lincolnshire","83","84"
"Asian","Liverpool","76","84"
"Asian","Luton","69","80"
"Asian","Manchester","72","75"
"Asian","Medway","78","91"
"Asian","Merton","82","84"
"Asian","Middlesbrough","68","72"
"Asian","Milton Keynes","78","86"
"Asian","Newcastle upon Tyne","73","81"
"Asian","Newham","81","86"
"Asian","Norfolk","79","71"
"Asian","North East Lincolnshire","100","67"
"Asian","North Lincolnshire","89","91"
"Asian","North Somerset","87","65"
"Asian","North Tyneside","78","68"
"Asian","North Yorkshire","79","69"
"Asian","Northamptonshire","76","77"
"Asian","Northumberland","89","74"
"Asian","Nottingham","73","75"
"Asian","Nottinghamshire","79","76"
"Asian","Oldham","63","69"
"Asian","Oxfordshire","74","76"
"Asian","Peterborough","69","76"
"Asian","Plymouth","50","92"
"Asian","Poole","95","87"
"Asian","Portsmouth","77","74"
"Asian","Reading","85","79"
"Asian","Redbridge","85","86"
"Asian","Redcar and Cleveland","67","100"
"Asian","Richmond upon Thames","85","92"
"Asian","Rochdale","69","74"
"Asian","Rotherham","75","80"
"Asian","Rutland","100","67"
"Asian","Salford","73","86"
"Asian","Sandwell","77","78"
"Asian","Sefton","75","88"
"Asian","Sheffield","76","76"
"Asian","Shropshire","79","79"
"Asian","Slough","82","85"
"Asian","Solihull","77","84"
"Asian","Somerset","71","86"
"Asian","South Gloucestershire","86","92"
"Asian","South Tyneside","79","80"
"Asian","Southampton","78","82"
"Asian","Southend-on-Sea","78","71"
"Asian","Southwark","81","82"
"Asian","St. Helens","67","92"
"Asian","Staffordshire","70","81"
"Asian","Stockport","70","68"
"Asian","Stockton-on-Tees","72","73"
"Asian","Stoke-on-Trent","73","73"
"Asian","Suffolk","73","83"
"Asian","Sunderland","71","75"
"Asian","Surrey","81","80"
"Asian","Sutton","89","92"
"Asian","Swindon","77","87"
"Asian","Tameside","72","72"
"Asian","Telford and Wrekin","76","83"
"Asian","Thurrock","85","84"
"Asian","Torbay","100","75"
"Asian","Tower Hamlets","76","82"
"Asian","Trafford","81","82"
"Asian","Wakefield","78","71"
"Asian","Walsall","75","79"
"Asian","Waltham Forest","83","84"
"Asian","Wandsworth","77","82"
"Asian","Warrington","91","86"
"Asian","Warwickshire","81","88"
"Asian","West Berkshire","85","91"
"Asian","West Sussex","75","77"
"Asian","Westminster","76","83"
"Asian","Wigan","81","59"
"Asian","Wiltshire","85","73"
"Asian","Windsor and Maidenhead","78","76"
"Asian","Wirral","83","80"
"Asian","Wokingham","88","89"
"Asian","Wolverhampton","77","83"
"Asian","Worcestershire","71","77"
"Asian","York","75","88"
"Black","Barking and Dagenham","76","82"
"Black","Barnet","71","75"
"Black","Barnsley","64","80"
"Black","Bath and North East Somerset","50","44"
"Black","Bedford","75","74"
"Black","Bexley","83","85"
"Black","Birmingham","70","74"
"Black","Blackburn with Darwen","79","70"
"Black","Blackpool","100","33"
"Black","Bolton","54","66"
"Black","Bournemouth","82","100"
"Black","Bracknell Forest","74","68"
"Black","Bradford","51","65"
"Black","Brent","71","75"
