"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","61","79"
"Asian","70","80"
"Bangladeshi","74","79"
"Indian","73","86"
"Pakistani","67","74"
"Asian other","71","82"
"Black","68","76"
"Black African","71","78"
"Black Caribbean","61","71"
"Black other","65","73"
"Chinese","83","92"
"Mixed","65","79"
"Mixed White/Asian","68","83"
"Mixed White/Black African","67","79"
"Mixed White/Black Caribbean","61","74"
"Mixed other","66","80"
"White","58","79"
"White British","58","79"
"White Irish","54","80"
"Gypsy/Roma","34","34"
"Irish Traveller","30","43"
"White other","62","76"
"Other","64","74"
"Unknown","61","59"
