"","Boys","","Girls",""
"Ethnicity","FSM","Non FSM","FSM","Non FSM"
"All","59","77","63","80"
"Asian","67","78","72","81"
"Bangladeshi","71","76","76","81"
"Indian","70","84","76","87"
"Pakistani","65","72","69","76"
"Asian other","68","80","73","83"
"Black","67","74","70","78"
"Black African","69","75","73","80"
"Black Caribbean","59","68","62","74"
"Black other","64","71","66","76"
"Chinese","81","91","85","92"
"Mixed","63","78","67","81"
"Mixed White/Asian","66","82","70","84"
"Mixed White/Black African","64","78","70","79"
"Mixed White/Black Caribbean","59","72","64","76"
"Mixed other","65","79","66","81"
"White","56","78","60","80"
"White British","56","78","60","80"
"White Irish","52","79","55","82"
"Gypsy/Roma","30","34","38","34"
"Irish Traveller","31","42","30","45"
"White other","61","76","63","77"
"Other","64","74","65","75"
"Unknown","56","59","66","59"
