"","All","","White","","Other than White",""
"Duration","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"0-3 months","44","600,400","45","473,100","42","126,500"
"3-12 months","31","415,400","30","321,800","31","93,600"
"1+ years","25","336,300","25","260,300","25","75,700"
