"Ethnicity","Rank code","%"
"White","All Officers","97.5"
"White","OF-1(D)","96.9"
"White","OF-2","97.5"
"White","OF-3","97.5"
"White","OF-4","98.1"
"White","OF-5","97.8"
"White","OF-6 and above","99.8"
"White","All Other Ranks","91.2"
"White","OR-1/OR-2","92.1"
"White","OR-3","84.7"
"White","OR-4","89.8"
"White","OR-6","91.8"
"White","OR-7","94.3"
"White","OR-8","94.8"
"White","OR-9","98.5"
"Other than White","All Officers","2.5"
"Other than White","OF-1(D)","3.1"
"Other than White","OF-2","2.5"
"Other than White","OF-3","2.5"
"Other than White","OF-4","1.9"
"Other than White","OF-5","2.2"
"Other than White","OF-6 and above","!"
"Other than White","All Other Ranks","8.8"
"Other than White","OR-1/OR-2","7.9"
"Other than White","OR-3","15.3"
"Other than White","OR-4","10.2"
"Other than White","OR-6","8.2"
"Other than White","OR-7","5.7"
"Other than White","OR-8","5.2"
"Other than White","OR-9","1.5"
