"","White","Other than White"
"Rank code","%","%"
"All Officers","97.5","2.5"
"OF-1(D)","96.9","3.1"
"OF-2","97.5","2.5"
"OF-3","97.5","2.5"
"OF-4","98.1","1.9"
"OF-5","97.8","2.2"
"OF-6 and above","99.8","!"
"All Other Ranks","91.2","8.8"
"OR-1/OR-2","92.1","7.9"
"OR-3","84.7","15.3"
"OR-4","89.8","10.2"
"OR-6","91.8","8.2"
"OR-7","94.3","5.7"
"OR-8","94.8","5.2"
"OR-9","98.5","1.5"
