"Ethnicity","Occupation","%"
"All","Administrative & secretarial  ","10"
"All","Associate professional & technical ","14"
"All","Caring, leisure and other services","9"
"All","Elementary  ","11"
"All","Managers, directors & senior officials ","11"
"All","Process, plant & machine operatives ","6"
"All","Professional  ","20"
"All","Sales & consumer service  ","8"
"All","Skilled trades  ","11"
"Indian","Administrative & secretarial  ","10"
"Indian","Associate professional & technical ","13"
"Indian","Caring, leisure and other services","6"
"Indian","Elementary  ","9"
"Indian","Managers, directors & senior officials ","11"
"Indian","Process, plant & machine operatives ","6"
"Indian","Professional  ","31"
"Indian","Sales & consumer service  ","9"
"Indian","Skilled trades  ","5"
"Pakistani/Bangladeshi","Administrative & secretarial  ","9"
"Pakistani/Bangladeshi","Associate professional & technical ","10"
"Pakistani/Bangladeshi","Caring, leisure and other services","9"
"Pakistani/Bangladeshi","Elementary  ","11"
"Pakistani/Bangladeshi","Managers, directors & senior officials ","11"
"Pakistani/Bangladeshi","Process, plant & machine operatives ","14"
"Pakistani/Bangladeshi","Professional  ","16"
"Pakistani/Bangladeshi","Sales & consumer service  ","13"
"Pakistani/Bangladeshi","Skilled trades  ","7"
"Black","Administrative & secretarial  ","9"
"Black","Associate professional & technical ","13"
"Black","Caring, leisure and other services","18"
"Black","Elementary  ","14"
"Black","Managers, directors & senior officials ","6"
"Black","Process, plant & machine operatives ","6"
"Black","Professional  ","21"
"Black","Sales & consumer service  ","8"
"Black","Skilled trades  ","6"
"Mixed","Administrative & secretarial  ","9"
"Mixed","Associate professional & technical ","17"
"Mixed","Caring, leisure and other services","11"
"Mixed","Elementary  ","14"
"Mixed","Managers, directors & senior officials ","8"
"Mixed","Process, plant & machine operatives ","5"
"Mixed","Professional  ","21"
"Mixed","Sales & consumer service  ","10"
"Mixed","Skilled trades  ","6"
"White","Administrative & secretarial  ","11"
"White","Associate professional & technical ","15"
"White","Caring, leisure and other services","9"
"White","Elementary  ","10"
"White","Managers, directors & senior officials ","11"
"White","Process, plant & machine operatives ","6"
"White","Professional  ","20"
"White","Sales & consumer service  ","7"
"White","Skilled trades  ","11"
"Other inc Chinese and Other Asian","Administrative & secretarial  ","8"
"Other inc Chinese and Other Asian","Associate professional & technical ","11"
"Other inc Chinese and Other Asian","Caring, leisure and other services","9"
"Other inc Chinese and Other Asian","Elementary  ","14"
"Other inc Chinese and Other Asian","Managers, directors & senior officials ","11"
"Other inc Chinese and Other Asian","Process, plant & machine operatives ","6"
"Other inc Chinese and Other Asian","Professional  ","24"
"Other inc Chinese and Other Asian","Sales & consumer service  ","8"
"Other inc Chinese and Other Asian","Skilled trades  ","8"
