"","All","","White","","Other than White",""
"Age","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"All","4","1,360,800","4","1,060,900","7","298,800"
"16-24","12","486,100","11","384,300","18","101,700"
"25-49","3","587,600","3","432,600","6","154,300"
"50-64","3","268,100","3","228,100","5","39,900"
"65+","2","18,900","1","15,900","5","3,000"
