"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","24","1974","1696","4229","3711","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","98","7917","6521","4229","3711","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","157","12726","9988","4229","3711","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","823","32539","27387","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","22","851","734","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","156","6169","4846","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","163","6431","5864","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","152","6009","5149","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","59","2326","2013","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","525","468","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","112","4437","3690","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","146","5791","4623","2063","1854","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","938","20989","18120","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","23","510","429","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","119","2663","2038","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","216","4825","4563","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","241","5391","4661","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","102","2274","2010","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","21","470","417","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","87","1947","1649","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","130","2910","2353","1166","1069","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","840","15264","12494","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","26","480","390","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","143","2591","1965","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","183","3317","2872","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","174","3170","2672","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","59","1076","928","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","!","!","!","!","!","Suppressed"
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","81","1467","1195","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","156","2838","2186","948","829","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","All Purposes","1087","1553530","1434196","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Business","37","53211","50533","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Commuting","167","238467","211439","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Education / escort education","111","158795","152742","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Leisure","287","410680","389530","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Other escort","101","143905","133431","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Other including just walk","46","65235","61550","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Personal business","113","161444","148680","74508","73649","               "
"Average trips per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Shopping","225","321793","286291","74508","73649","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","1049","1712595","1575251","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","35","57718","54495","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","165","268771","234735","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","118","192491","185132","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","275","448566","424666","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","94","153492","143011","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","43","70162","66048","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","108","176453","161359","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","211","344942","305805","85083","83634","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","868","73331","61770","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","20","1731","1447","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","157","13242","10516","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","169","14288","12792","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","173","14656","12557","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","69","5806","5118","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","25","2113","1847","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","97","8209","6849","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","157","13287","10644","4407","3973","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","816","33593","29113","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","24","992","870","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","154","6343","5186","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","166","6832","6465","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","152","6253","5432","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","62","2549","2265","2147","1990","               "
"Average trips per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","10","427","394","2147","1990","               "
