"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","126","3229","2560","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","209","5356","5118","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","245","6284","5543","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","99","2531","2253","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","33","843","821","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","88","2267","1964","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","125","3212","2586","1336","1256","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","863","16617","13664","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","20","383","329","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","152","2920","2232","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","180","3462","3043","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","180","3469","2910","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","57","1091","961","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","36","690","525","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","86","1656","1372","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","153","2947","2292","1004","888","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","All Purposes","1048","1528302","1416697","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Business","35","51361","48964","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Commuting","160","232559","205665","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Education / escort education","106","154412","148577","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Leisure","283","412056","394454","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other escort","96","140561","130339","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","70007","66452","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Personal business","108","156942","144833","76000","75534","               "
"Average trips per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Shopping","213","310405","277413","76000","75534","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","1012","1642071","1519022","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","32","51856","49225","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","156","253820","221824","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","113","182693","174985","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","266","431111","414335","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","93","151388","141231","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","73247","69594","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","104","169527","156546","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","202","328430","291282","84634","83718","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","859","83400","70880","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","19","1799","1555","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","162","15722","12542","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","175","17016","15297","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","164","15940","13993","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","74","7186","6351","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","21","2020","1812","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","95","9231","7753","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","149","14486","11577","5060","4625","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","828","36249","32256","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","27","1190","1049","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","151","6622","5588","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","159","6969","6872","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","161","7068","6316","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","64","2804","2645","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","11","496","436","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","117","5123","4476","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","137","5977","4874","2283","2167","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","930","24656","21740","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","14","378","337","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","123","3265","2613","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","193","5106","4859","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","245","6507","5786","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","98","2603","2349","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","38","1020","968","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","91","2412","2139","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","127","3365","2689","1382","1307","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","865","16465","13781","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","21","400","346","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","151","2877","2232","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","153","2906","2671","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","189","3592","3056","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","62","1174","1054","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","43","821","629","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","91","1733","1424","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","156","2962","2369","993","895","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","All Purposes","1031","1479878","1378987","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Business","33","48012","45855","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Commuting","157","225209","198733","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Education / escort education","105","150469","145071","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Leisure","277","397592","384772","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other escort","96","137478","128704","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","68853","65711","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Personal business","105","150893","140630","74843","74649","               "
"Average trips per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Shopping","210","301373","269511","74843","74649","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","993","1588306","1475712","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","31","48961","46610","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","154","245894","213208","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","112","179639","171343","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","261","418032","404064","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","92","147409","138806","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","72017","68490","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","102","162801","152013","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","196","313551","281178","83421","82800","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","836","82554","69981","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","1695","1472","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","164","16203","12759","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","171","16907","15115","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","153","15123","13305","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","75","7410","6550","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","19","1872","1666","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","93","9140","7788","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","144","14205","11326","5151","4717","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","826","38298","34337","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","27","1264","1131","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","145","6699","5662","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","161","7477","7401","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","166","7697","6912","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","63","2937","2789","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","538","481","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","118","5458","4840","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","134","6228","5121","2416","2316","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","908","23974","21107","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","13","354","316","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","117","3093","2427","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","183","4835","4542","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","245","6483","5745","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","98","2595","2406","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","38","1002","958","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","90","2369","2094","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","123","3242","2619","1377","1290","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","836","16591","14016","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","28","556","484","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","142","2811","2233","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","144","2863","2613","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","180","3576","3082","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","61","1204","1094","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","41","811","612","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","86","1712","1446","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","154","3058","2452","1035","944","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","All Purposes","1013","1425387","1334842","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Business","32","45020","43131","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Commuting","154","216885","189950","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Education / escort education","105","147384","141501","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Leisure","273","384738","374604","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Other escort","95","133101","125820","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Other including just walk","48","67762","64737","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Personal business","102","143955","135706","73370","73459","               "
"Average trips per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Shopping","204","286541","259393","73370","73459","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","987","1574007","1463504","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","47366","45298","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","150","239611","208407","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","114","181897","172352","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","258","411105","399460","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","92","147327","137900","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","73331","69741","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","101","160726","150401","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","196","312644","279945","83120","82612","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","837","87504","74523","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","17","1813","1588","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","160","16756","13338","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","178","18570","16656","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","153","15943","14061","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","75","7794","6920","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","20","2097","1882","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","92","9618","8202","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","143","14912","11876","5450","4980","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","827","39246","35503","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","26","1252","1123","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","136","6459","5513","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","168","7974","7962","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","166","7881","7188","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","63","2990","2859","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","12","558","506","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","116","5526","4902","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","139","6607","5450","2475","2396","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","891","23398","20669","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","14","377","334","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","115","3027","2415","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","171","4481","4214","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","237","6218","5570","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","102","2668","2462","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","37","976","913","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","87","2288","2022","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","128","3363","2739","1369","1285","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","798","16997","14381","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","26","543","472","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","137","2919","2300","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","134","2855","2619","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","168","3585","3135","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","58","1234","1124","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","36","775","593","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","81","1723","1451","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","158","3363","2687","1110","1014","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","All Purposes","1009","1405761","1317501","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Business","31","43337","41743","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Commuting","151","210255","184671","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Education / escort education","106","147898","140800","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Leisure","271","377231","369290","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other escort","95","132525","124444","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","68892","65811","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Personal business","101","141420","133714","72660","72885","               "
"Average trips per year by trip purpose","2008-2012","5-year rolling average","White","ONS 2011 5+1","Shopping","204","284204","257028","72660","72885","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","973","1547645","1442650","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","30","47018","44961","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","148","235075","204166","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","115","183582","174640","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","254","404119","393437","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","90","143764","134853","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","45","72267","68966","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","98","155577","146370","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","193","306245","275257","82923","82444","               "
"Average trips per year by trip purpose","2009-2013","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","832","90069","77766","5646","5216","               "
