"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1119","2591","1965","948","829","20343","15526","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","418","3317","2872","948","829","7591","6715","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1547","3170","2672","948","829","28112","24451","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","311","1076","928","948","829","5653","4869","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","!","!","!","!","!","!","!","Suppressed"
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","279","1467","1195","948","829","5069","4190","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","524","2838","2186","948","829","9530","7617","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","All Purposes","7434","1553530","1434196","74508","73649","10623129","9959079","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Business","752","53211","50533","74508","73649","1074949","1027646","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Commuting","1445","238467","211439","74508","73649","2064628","1847548","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Education / escort education","301","158795","152742","74508","73649","429609","415337","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Leisure","2952","410680","389530","74508","73649","4218668","4074580","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Other escort","505","143905","133431","74508","73649","721379","668293","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Other including just walk","47","65235","61550","74508","73649","67842","65997","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Personal business","501","161444","148680","74508","73649","716177","661618","             "
"Average distance per year by trip purpose","2002-2006","5-year rolling average","White","ONS 2011 5+1","Shopping","931","321793","286291","74508","73649","1329879","1198060","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","7139","1712595","1575251","85083","83634","11650252","10874222","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","707","57718","54495","85083","83634","1153803","1103200","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1421","268771","234735","85083","83634","2319277","2046769","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","318","192491","185132","85083","83634","519192","496968","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2817","448566","424666","85083","83634","4597012","4435713","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","478","153492","143011","85083","83634","780419","722854","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","70162","66048","85083","83634","74352","71757","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","484","176453","161359","85083","83634","789489","723076","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","868","344942","305805","85083","83634","1416707","1273884","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4489","73331","61770","4407","3973","379450","318749","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","290","1731","1447","4407","3973","24549","20986","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1148","13242","10516","4407","3973","97077","77998","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","428","14288","12792","4407","3973","36216","31270","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1490","14656","12557","4407","3973","125907","108426","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","282","5806","5118","4407","3973","23821","20693","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","28","2113","1847","4407","3973","2329","2111","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","353","8209","6849","4407","3973","29865","25156","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","470","13287","10644","4407","3973","39686","32109","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4876","33593","29113","2147","1990","200773","172832","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","304","992","870","2147","1990","12515","11314","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1264","6343","5186","2147","1990","52036","43024","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","497","6832","6465","2147","1990","20475","18788","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1452","6253","5432","2147","1990","59791","52280","             "
"Average distance per year by trip purpose","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","308","2549","2265","2147","1990","12680","10915","             "
