"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance","Notes"
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1172","14946","11886","4844","4383","108890","88450","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","431","16399","14610","4844","4383","40026","34256","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1449","15737","13617","4844","4383","134609","117983","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","309","6999","6124","4844","4383","28696","24670","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","28","2081","1841","4844","4383","2631","2334","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","407","8927","7417","4844","4383","37844","31826","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","487","13922","11145","4844","4383","45259","37045","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4784","34030","29753","2122","1990","194713","170167","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","305","1120","994","2122","1990","12397","11931","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1288","6187","5176","2122","1990","52408","44394","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","513","6646","6330","2122","1990","20901","19410","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1385","6502","5678","2122","1990","56378","49822","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","278","2832","2580","2122","1990","11303","9846","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","426","390","2122","1990","549","528","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","542","4839","4164","2122","1990","22073","19214","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","459","5478","4441","2122","1990","18704","15022","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5304","24146","21226","1336","1256","135855","119843","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","216","425","381","1336","1256","5520","4866","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","1018","3229","2560","1336","1256","26069","21090","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","465","5356","5118","1336","1256","11918","11359","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2340","6284","5543","1336","1256","59938","54913","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","417","2531","2253","1336","1256","10686","9367","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","26","843","821","1336","1256","653","633","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","409","2267","1964","1336","1256","10467","8879","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","414","3212","2586","1336","1256","10603","8736","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4386","16617","13664","1004","888","84430","70343","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","270","383","329","1004","888","5203","4354","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1088","2920","2232","1004","888","20938","16112","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","432","3462","3043","1004","888","8326","7130","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1533","3469","2910","1004","888","29515","25822","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","299","1091","961","1004","888","5766","4873","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","38","690","525","1004","888","728","604","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","270","1656","1372","1004","888","5200","4350","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","455","2947","2292","1004","888","8753","7098","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","All Purposes","7285","1528302","1416697","76000","75534","10619220","10012290","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Business","700","51361","48964","76000","75534","1020397","985214","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Commuting","1399","232559","205665","76000","75534","2039466","1822401","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Education / escort education","292","154412","148577","76000","75534","426052","411316","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Leisure","2948","412056","394454","76000","75534","4297102","4193863","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other escort","499","140561","130339","76000","75534","727292","671462","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","70007","66452","76000","75534","72850","70660","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Personal business","499","156942","144833","76000","75534","727408","672463","             "
"Average distance per year by trip purpose","2005-2009","5-year rolling average","White","ONS 2011 5+1","Shopping","898","310405","277413","76000","75534","1308653","1184912","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6910","1642071","1519022","84634","83718","11216540","10582652","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","628","51856","49225","84634","83718","1019973","988133","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1364","253820","221824","84634","83718","2214290","1961972","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","313","182693","174985","84634","83718","508415","484862","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2747","431111","414335","84634","83718","4459087","4378284","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","481","151388","141231","84634","83718","781575","728363","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","47","73247","69594","84634","83718","75986","73588","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","489","169527","156546","84634","83718","793251","736856","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","840","328430","291282","84634","83718","1363963","1230593","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4695","83400","70880","5060","4625","455643","387683","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","314","1799","1555","5060","4625","30517","26321","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1253","15722","12542","5060","4625","121627","99019","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","444","17016","15297","5060","4625","43090","37172","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1483","15940","13993","5060","4625","143909","127576","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","305","7186","6351","5060","4625","29599","25499","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","26","2020","1812","5060","4625","2512","2275","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","390","9231","7753","5060","4625","37804","31808","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","480","14486","11577","5060","4625","46584","38013","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4685","36249","32256","2283","2167","205163","181342","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","322","1190","1049","2283","2167","14094","13263","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1294","6622","5588","2283","2167","56658","48652","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","487","6969","6872","2283","2167","21334","20571","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1278","7068","6316","2283","2167","55948","50429","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","254","2804","2645","2283","2167","11103","9714","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","13","496","436","2283","2167","574","525","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","606","5123","4476","2283","2167","26548","22681","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","432","5977","4874","2283","2167","18905","15508","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5327","24656","21740","1382","1307","141215","124253","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","251","378","337","1382","1307","6644","6006","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","926","3265","2613","1382","1307","24547","20270","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","421","5106","4859","1382","1307","11162","10683","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2459","6507","5786","1382","1307","65189","58862","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","431","2603","2349","1382","1307","11434","10027","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","34","1020","968","1382","1307","899","849","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","403","2412","2139","1382","1307","10670","8919","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","402","3365","2689","1382","1307","10668","8636","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4438","16465","13781","993","895","84525","71690","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","304","400","346","993","895","5794","5024","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","1026","2877","2232","993","895","19543","15519","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","431","2906","2671","993","895","8200","7077","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1546","3592","3056","993","895","29443","25970","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","283","1174","1054","993","895","5399","4726","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","45","821","629","993","895","853","698","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","309","1733","1424","993","895","5881","4907","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","494","2962","2369","993","895","9413","7769","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","All Purposes","7188","1479878","1378987","74843","74649","10317576","9805516","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Business","669","48012","45855","74843","74649","960517","934798","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Commuting","1387","225209","198733","74843","74649","1990512","1777231","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Education / escort education","296","150469","145071","74843","74649","424213","408968","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Leisure","2898","397592","384772","74843","74649","4159609","4110694","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other escort","504","137478","128704","74843","74649","722891","677287","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Other including just walk","50","68853","65711","74843","74649","71089","69174","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Personal business","496","150893","140630","74843","74649","711373","667747","             "
"Average distance per year by trip purpose","2006-2010","5-year rolling average","White","ONS 2011 5+1","Shopping","890","301373","269511","74843","74649","1277372","1159616","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6842","1588306","1475712","83421","82800","10946469","10376322","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","602","48961","46610","83421","82800","962963","935696","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1346","245894","213208","83421","82800","2153385","1895102","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","315","179639","171343","83421","82800","503951","478983","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2733","418032","404064","83421","82800","4373447","4320284","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","487","147409","138806","83421","82800","778530","733818","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","72017","68490","83421","82800","74212","72120","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","489","162801","152013","83421","82800","781982","734919","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","824","313551","281178","83421","82800","1318000","1205400","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4595","82554","69981","5151","4717","453948","386225","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","289","1695","1472","5151","4717","28548","24620","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1309","16203","12759","5151","4717","129353","104779","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","429","16907","15115","5151","4717","42412","36523","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1393","15123","13305","5151","4717","137630","122492","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","312","7410","6550","5151","4717","30846","26657","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","22","1872","1666","5151","4717","2211","1997","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","375","9140","7788","5151","4717","37093","31439","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","464","14205","11326","5151","4717","45856","37718","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4637","38298","34337","2416","2316","214891","191914","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","312","1264","1131","2416","2316","14446","13811","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1259","6699","5662","2416","2316","58320","50046","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","483","7477","7401","2416","2316","22388","21551","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1286","7697","6912","2416","2316","59582","54346","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","239","2937","2789","2416","2316","11057","9940","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","16","538","481","2416","2316","724","711","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","625","5458","4840","2416","2316","28952","25339","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","419","6228","5121","2416","2316","19422","16170","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","5088","23974","21107","1377","1290","134401","119199","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Business","243","354","316","1377","1290","6429","5956","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Commuting","844","3093","2427","1377","1290","22295","18774","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Education / escort education","385","4835","4542","1377","1290","10160","9691","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Leisure","2314","6483","5745","1377","1290","61119","54912","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other escort","467","2595","2406","1377","1290","12346","11389","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other including just walk","34","1002","958","1377","1290","909","864","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Personal business","413","2369","2094","1377","1290","10907","9209","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Shopping","387","3242","2619","1377","1290","10235","8405","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","All Purposes","4627","16591","14016","1035","944","91858","79926","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Business","401","556","484","1035","944","7960","7212","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Commuting","978","2811","2233","1035","944","19423","15776","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Education / escort education","448","2863","2613","1035","944","8891","7612","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Leisure","1638","3576","3082","1035","944","32508","29273","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other escort","289","1204","1094","1035","944","5741","5124","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other including just walk","40","811","612","1035","944","789","632","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Personal business","343","1712","1446","1035","944","6808","6112","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","Shopping","491","3058","2452","1035","944","9738","8184","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","All Purposes","7134","1425387","1334842","73370","73459","10038320","9586368","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Business","642","45020","43131","73370","73459","903280","881523","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Commuting","1366","216885","189950","73370","73459","1922083","1703984","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Education / escort education","298","147384","141501","73370","73459","419723","403227","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Leisure","2898","384738","374604","73370","73459","4077465","4054345","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Other escort","510","133101","125820","73370","73459","717391","679601","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Other including just walk","49","67762","64737","73370","73459","69518","67844","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Personal business","495","143955","135706","73370","73459","697046","661874","             "
"Average distance per year by trip purpose","2007-2011","5-year rolling average","White","ONS 2011 5+1","Shopping","875","286541","259393","73370","73459","1231814","1133970","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","All Purposes","6734","1574007","1463504","83120","82612","10734897","10215023","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Business","572","47366","45298","83120","82612","912524","893394","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Commuting","1318","239611","208407","83120","82612","2101531","1860024","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Education / escort education","321","181897","172352","83120","82612","512481","488149","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Leisure","2678","411105","399460","83120","82612","4268949","4237268","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other escort","488","147327","137900","83120","82612","778359","732738","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other including just walk","46","73331","69741","83120","82612","73304","71729","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Personal business","488","160726","150401","83120","82612","777641","734907","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","Shopping","822","312644","279945","83120","82612","1310107","1196814","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","All Purposes","4589","87504","74523","5450","4980","479726","410344","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Business","273","1813","1588","5450","4980","28490","24685","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Commuting","1318","16756","13338","5450","4980","137796","112560","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Education / escort education","432","18570","16656","5450","4980","45156","39446","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Leisure","1398","15943","14061","5450","4980","146146","129996","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other escort","309","7794","6920","5450","4980","32294","27938","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other including just walk","21","2097","1882","5450","4980","2246","2001","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Personal business","380","9618","8202","5450","4980","39710","34272","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Shopping","458","14912","11876","5450","4980","47888","39446","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All Purposes","4497","39246","35503","2475","2396","213457","194278","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Business","329","1252","1123","2475","2396","15601","15011","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Commuting","1133","6459","5513","2475","2396","53785","46996","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Education / escort education","500","7974","7962","2475","2396","23717","23133","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Leisure","1223","7881","7188","2475","2396","58058","54193","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other escort","246","2990","2859","2475","2396","11673","10792","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other including just walk","15","558","506","2475","2396","707","702","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Personal business","620","5526","4902","2475","2396","29409","26168","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Shopping","432","6607","5450","2475","2396","20507","17284","             "
"Average distance per year by trip purpose","2008-2012","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All Purposes","4950","23398","20669","1369","1285","129937","115470","             "
